"","V1"
"SNP_A-1677174",1.05945524979348
"SNP_A-1718890",0.570578195378095
"SNP_A-1678466",1.61295220648860
"SNP_A-1676440",1.43948957049088
"SNP_A-1662392",0.838182815270253
"SNP_A-1685736",2.00529945635773
"SNP_A-1681384",1.02012649140228
"SNP_A-1668776",0.945503544082245
"SNP_A-1642581",2.57048650705489
"SNP_A-1669029",3.3242645171418
"SNP_A-1723597",2.14851372460237
"SNP_A-1718237",1.95250759375645
"SNP_A-1748467",1.53629868340989
"SNP_A-1728870",0.608658888163889
"SNP_A-1669946",2.68783505774505
"SNP_A-1708099",0.938173819597519
"SNP_A-1716798",2.50423800839453
"SNP_A-1701872",0.926569024535743
"SNP_A-1705537",2.99222541916296
"SNP_A-1683756",0.873218289460904
"SNP_A-1697748",1.44105546784018
"SNP_A-1699138",1.7764562212173
"SNP_A-1696782",2.37085466107383
"SNP_A-1750020",1.15399210096892
"SNP_A-1673422",2.10122986232091
"SNP_A-1670878",1.49511057438947
"SNP_A-1743511",1.06360543585252
"SNP_A-1646481",0.836647043205692
"SNP_A-1736635",1.11000262202196
"SNP_A-1666738",1.68823765758220
"SNP_A-1721407",0.823552008429453
"SNP_A-1686722",0.9297762888138
"SNP_A-1701882",2.36563488757637
"SNP_A-1701982",1.11155499419112
"SNP_A-1737197",0.646101162107681
"SNP_A-1754224",0.975442792619208
"SNP_A-1749896",2.59646681164598
"SNP_A-1750090",1.50950235389417
"SNP_A-1642231",0.974400631283504
"SNP_A-1714480",1.00584037259692
"SNP_A-1712765",0.39831857504866
"SNP_A-1710770",0.849779555239002
"SNP_A-1649717",1.29384827857265
"SNP_A-1684884",1.78171703308478
"SNP_A-1658786",1.18823941313363
"SNP_A-1688090",1.47692994568891
"SNP_A-1703834",1.89170791553757
"SNP_A-1695724",1.20616604638514
"SNP_A-1645394",2.0125038818224
"SNP_A-1693756",3.19294373104887
"SNP_A-1680604",1.31043805069187
"SNP_A-1690704",1.37308059576207
"SNP_A-1665024",1.65856858089492
"SNP_A-1743269",2.95156231569310
"SNP_A-1703367",1.50856632500477
"SNP_A-1722718",2.54817368088394
"SNP_A-1677514",0.92300167961473
"SNP_A-1747841",1.89615578217651
"SNP_A-1737335",0.573377217532813
"SNP_A-1755813",1.04431120015015
"SNP_A-1670902",1.37038513063364
"SNP_A-1734642",2.94582394021124
"SNP_A-1747364",0.752210790703193
"SNP_A-1747266",2.14270286724179
"SNP_A-1747118",1.96269966193420
"SNP_A-1745353",0.767417525056112
"SNP_A-1745179",0.579352859232977
